T1,T2,net_benefit,拦截层交易占比,拦截层欺诈覆盖率,拦截层误杀数,验证层交易占比,验证层欺诈数,验证层正常数,放行层交易占比,总欺诈拦截率,总交易干预率
0.3437595753810239,0.20887071146681974,158355.84375,0.005003894740407085,0.1279527559055118,71,0.025002540048091576,1186,1767,0.9699935652115014,0.3906003937007874,0.03000643478849866
0.3437595753810239,0.23884765755141957,116404.6875,0.005003894740407085,0.1279527559055118,71,0.015011684221221256,946,827,0.9799844210383717,0.3374507874015748,0.02001557896162834
0.3437595753810239,0.30750206107670397,62420.5546875,0.005003894740407085,0.1279527559055118,71,0.005003894740407085,442,149,0.9899922105191858,0.22583661417322834,0.01000778948081417
0.3437595753810239,0.3317377135428311,44614.34375,0.005003894740407085,0.1279527559055118,71,0.0019981711653740642,181,55,0.9929979340942189,0.16803641732283464,0.00700206590578115
0.3523122105491394,0.20887071146681974,156844.15625,0.0030141904020049444,0.07701771653543307,43,0.026992244386493718,1393,1795,0.9699935652115014,0.38550688976377956,0.03000643478849866
0.3523122105491394,0.23884765755141957,114893.0234375,0.0030141904020049444,0.07701771653543307,43,0.017001388559623395,1153,855,0.9799844210383717,0.33235728346456694,0.02001557896162834
0.3523122105491394,0.30750206107670397,60908.875,0.0030141904020049444,0.07701771653543307,43,0.006993599078809225,649,177,0.9899922105191858,0.22074311023622048,0.01000778948081417
0.3523122105491394,0.3317377135428311,43102.671875,0.0030141904020049444,0.07701771653543307,43,0.003987875503776205,388,83,0.9929979340942189,0.16294291338582678,0.00700206590578115
0.3523122105491394,0.3437595753810239,31382.87109375,0.0030141904020049444,0.07701771653543307,43,0.00198970433840214,207,28,0.9949961052595929,0.12285925196850395,0.005003894740407085
0.3537613735795219,0.20887071146681974,155902.90625,0.0020320384732617604,0.04970472440944882,38,0.0279743963152369,1504,1800,0.9699935652115014,0.38277559055118116,0.03000643478849866
0.3537613735795219,0.23884765755141957,113951.734375,0.0020320384732617604,0.04970472440944882,38,0.01798354048836658,1264,860,0.9799844210383717,0.32962598425196854,0.02001557896162834
0.3537613735795219,0.30750206107670397,59967.609375,0.0020320384732617604,0.04970472440944882,38,0.00797575100755241,760,182,0.9899922105191858,0.21801181102362205,0.01000778948081417
0.3537613735795219,0.3317377135428311,42161.3984375,0.0020320384732617604,0.04970472440944882,38,0.004970027432519389,499,88,0.9929979340942189,0.16021161417322835,0.00700206590578115
0.3537613735795219,0.3437595753810239,30441.6015625,0.0020320384732617604,0.04970472440944882,38,0.0029718562671453247,318,33,0.9949961052595929,0.12012795275590551,0.005003894740407085
0.3537613735795219,0.3523122105491394,15986.548828125,0.0020320384732617604,0.04970472440944882,38,0.0009821519287431843,111,5,0.9969858095979951,0.07428641732283464,0.0030141904020049444
0.3553737819833352,0.20887071146681974,155255.109375,0.0011345548142378161,0.025590551181102362,30,0.028871879974260845,1602,1808,0.9699935652115013,0.3803641732283464,0.03000643478849866
0.3553737819833352,0.23884765755141957,113303.96875,0.0011345548142378161,0.025590551181102362,30,0.018881024147390523,1362,868,0.9799844210383716,0.32721456692913387,0.02001557896162834
0.3553737819833352,0.30750206107670397,59319.8359375,0.0011345548142378161,0.025590551181102362,30,0.008873234666576354,858,190,0.9899922105191858,0.2156003937007874,0.01000778948081417
0.3553737819833352,0.3317377135428311,41513.625,0.0011345548142378161,0.025590551181102362,30,0.005867511091543333,597,96,0.9929979340942188,0.15780019685039373,0.00700206590578115
0.3553737819833352,0.3437595753810239,29793.82421875,0.0011345548142378161,0.025590551181102362,30,0.0038693399261692687,416,41,0.9949961052595929,0.11771653543307087,0.005003894740407085
0.3553737819833352,0.3523122105491394,15338.775390625,0.0011345548142378161,0.025590551181102362,30,0.0018796355877671283,209,13,0.996985809597995,0.07187500000000001,0.0030141904020049444
0.35638505620566024,0.20887071146681974,154974.625,0.0008297490432485522,0.0172244094488189,28,0.02917668574525011,1636,1810,0.9699935652115014,0.37952755905511815,0.03000643478849866
0.35638505620566024,0.23884765755141957,113023.46875,0.0008297490432485522,0.0172244094488189,28,0.019185829918379787,1396,870,0.9799844210383717,0.32637795275590553,0.02001557896162834
0.35638505620566024,0.30750206107670397,59039.328125,0.0008297490432485522,0.0172244094488189,28,0.009178040437565618,892,192,0.9899922105191858,0.21476377952755907,0.01000778948081417
0.35638505620566024,0.3317377135428311,41233.11328125,0.0008297490432485522,0.0172244094488189,28,0.006172316862532597,631,98,0.9929979340942189,0.15696358267716534,0.00700206590578115
0.35638505620566024,0.3437595753810239,29513.31640625,0.0008297490432485522,0.0172244094488189,28,0.004174145697158533,450,43,0.9949961052595929,0.11687992125984252,0.005003894740407085
